anno_inizio,ordine_scuola,comune,pro_com_t,alunni,alunni_paritaria,quota_paritaria
2015,SCUOLA SECONDARIA II GRADO,BEDONIA,034003,187,0,0
2015,SCUOLA SECONDARIA I GRADO,SALA BAGANZA,034031,135,0,0
2015,SCUOLA PRIMARIA,ALBARETO,034001,49,0,0
2016,SCUOLA PRIMARIA,POLESINE ZIBELLO,034050,114,0,0
2016,SCUOLA SECONDARIA II GRADO,FIDENZA,034014,1756,0,0
2016,SCUOLA PRIMARIA,SORBOLO MEZZANI,034051,691,0,0
2016,SCUOLA PRIMARIA,BUSSETO,034007,302,0,0
2016,SCUOLA PRIMARIA,SORAGNA,034036,214,0,0
2016,SCUOLA PRIMARIA,FONTEVIVO,034016,289,0,0
2016,SCUOLA SECONDARIA II GRADO,FORNOVO DI TARO,034017,383,0,0
2016,SCUOLA PRIMARIA,SALA BAGANZA,034031,248,0,0
2016,SCUOLA PRIMARIA,FONTANELLATO,034015,271,0,0
2016,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,924,0,0
2016,SCUOLA SECONDARIA I GRADO,SORAGNA,034036,138,0,0
2016,SCUOLA SECONDARIA II GRADO,BORGO VAL DI TARO,034006,372,0,0
2016,SCUOLA PRIMARIA,MONTECHIARUGOLO,034023,497,0,0
2016,SCUOLA PRIMARIA,FELINO,034013,460,0,0
2016,SCUOLA PRIMARIA,NEVIANO DEGLI ARDUINI,034024,125,0,0
2016,SCUOLA PRIMARIA,CALESTANO,034008,82,0,0
2016,SCUOLA PRIMARIA,COLLECCHIO,034009,794,0,0
2016,SCUOLA SECONDARIA II GRADO,SAN SECONDO PARMENSE,034033,617,0,0
2016,SCUOLA PRIMARIA,NOCETO,034025,602,0,0
2016,SCUOLA PRIMARIA,COLORNO,034010,422,0,0
2016,SCUOLA SECONDARIA I GRADO,SOLIGNANO,034035,40,0,0
2016,SCUOLA PRIMARIA,TORNOLO,034040,29,0,0
2016,SCUOLA PRIMARIA,COMPIANO,034011,52,0,0
2016,SCUOLA PRIMARIA,BEDONIA,034003,109,0,0
2016,SCUOLA PRIMARIA,TORRILE,034041,455,0,0
2016,SCUOLA SECONDARIA I GRADO,BERCETO,034004,22,0,0
2016,SCUOLA SECONDARIA I GRADO,FORNOVO DI TARO,034017,216,0,0
2016,SCUOLA PRIMARIA,PALANZANO,034026,12,0,0
2016,SCUOLA PRIMARIA,MONCHIO DELLE CORTI,034022,14,0,0
2016,SCUOLA SECONDARIA I GRADO,MONTECHIARUGOLO,034023,290,0,0
2016,SCUOLA SECONDARIA I GRADO,COLORNO,034010,292,0,0
2016,SCUOLA SECONDARIA II GRADO,BEDONIA,034003,203,0,0
2016,SCUOLA PRIMARIA,TRAVERSETOLO,034042,460,0,0
2016,SCUOLA SECONDARIA I GRADO,CALESTANO,034008,41,0,0
2016,SCUOLA SECONDARIA I GRADO,SALA BAGANZA,034031,141,0,0
2016,SCUOLA SECONDARIA I GRADO,TORRILE,034041,225,0,0
2016,SCUOLA SECONDARIA I GRADO,SORBOLO MEZZANI,034051,393,0,0
2016,SCUOLA SECONDARIA I GRADO,FONTEVIVO,034016,148,0,0
2016,SCUOLA SECONDARIA I GRADO,TRAVERSETOLO,034042,285,0,0
2016,SCUOLA SECONDARIA I GRADO,COLLECCHIO,034009,361,0,0
2016,SCUOLA SECONDARIA I GRADO,NOCETO,034025,391,0,0
2016,SCUOLA SECONDARIA I GRADO,FELINO,034013,250,0,0
2016,SCUOLA SECONDARIA I GRADO,BARDI,034002,30,0,0
2016,SCUOLA SECONDARIA I GRADO,MEDESANO,034020,268,0,0
2016,SCUOLA SECONDARIA I GRADO,TORNOLO,034040,10,0,0
2016,SCUOLA SECONDARIA I GRADO,BEDONIA,034003,117,0,0
2016,SCUOLA PRIMARIA,LESIGNANO DE' BAGNI,034019,212,0,0
2016,SCUOLA PRIMARIA,SISSA TRECASALI,034049,397,0,0
2016,SCUOLA PRIMARIA,CORNIGLIO,034012,65,0,0
2016,SCUOLA PRIMARIA,TIZZANO VAL PARMA,034039,86,0,0
2016,SCUOLA SECONDARIA I GRADO,POLESINE ZIBELLO,034050,55,0,0
2016,SCUOLA SECONDARIA II GRADO,LANGHIRANO,034018,222,0,0
2016,SCUOLA PRIMARIA,BORE,034005,11,0,0
2016,SCUOLA SECONDARIA I GRADO,VARSI,034046,22,0,0
2016,SCUOLA PRIMARIA,PELLEGRINO PARMENSE,034028,31,0,0
2016,SCUOLA SECONDARIA I GRADO,VARANO DE' MELEGARI,034045,96,0,0
2016,SCUOLA PRIMARIA,BORGO VAL DI TARO,034006,328,0,0
2016,SCUOLA SECONDARIA I GRADO,BORGO VAL DI TARO,034006,194,0,0
2016,SCUOLA SECONDARIA I GRADO,SISSA TRECASALI,034049,223,0,0
2016,SCUOLA PRIMARIA,MEDESANO,034020,554,0,0
2016,SCUOLA PRIMARIA,BARDI,034002,61,0,0
2016,SCUOLA SECONDARIA I GRADO,LESIGNANO DE' BAGNI,034019,119,0,0
2016,SCUOLA SECONDARIA I GRADO,NEVIANO DEGLI ARDUINI,034024,59,0,0
2016,SCUOLA PRIMARIA,ALBARETO,034001,55,0,0
2016,SCUOLA PRIMARIA,VARANO DE' MELEGARI,034045,146,0,0
2016,SCUOLA SECONDARIA I GRADO,FONTANELLATO,034015,156,0,0
2016,SCUOLA SECONDARIA I GRADO,ALBARETO,034001,26,0,0
2016,SCUOLA SECONDARIA I GRADO,PELLEGRINO PARMENSE,034028,23,0,0
2016,SCUOLA SECONDARIA I GRADO,TIZZANO VAL PARMA,034039,44,0,0
2016,SCUOLA SECONDARIA I GRADO,PALANZANO,034026,32,0,0
2016,SCUOLA SECONDARIA I GRADO,LANGHIRANO,034018,295,0,0
2016,SCUOLA PRIMARIA,FORNOVO DI TARO,034017,303,0,0
2016,SCUOLA PRIMARIA,SOLIGNANO,034035,35,0,0
2016,SCUOLA PRIMARIA,TERENZO,034038,14,0,0
2016,SCUOLA SECONDARIA I GRADO,CORNIGLIO,034012,22,0,0
2016,SCUOLA PRIMARIA,BERCETO,034004,52,0,0
2016,SCUOLA PRIMARIA,LANGHIRANO,034018,493,0,0
2016,SCUOLA PRIMARIA,VARSI,034046,35,0,0
2016,SCUOLA PRIMARIA,SAN SECONDO PARMENSE,034033,282,0,0
2016,SCUOLA PRIMARIA,ROCCABIANCA,034030,116,0,0
2016,SCUOLA SECONDARIA I GRADO,SAN SECONDO PARMENSE,034033,138,0,0
2016,SCUOLA SECONDARIA I GRADO,ROCCABIANCA,034030,72,0,0
2017,SCUOLA PRIMARIA,SORBOLO MEZZANI,034051,689,0,0
2017,SCUOLA SECONDARIA II GRADO,FORNOVO DI TARO,034017,409,0,0
2017,SCUOLA PRIMARIA,BUSSETO,034007,292,0,0
2017,SCUOLA SECONDARIA II GRADO,BEDONIA,034003,225,0,0
2017,SCUOLA SECONDARIA I GRADO,SORAGNA,034036,133,0,0
2017,SCUOLA PRIMARIA,SOLIGNANO,034035,42,0,0
2017,SCUOLA SECONDARIA I GRADO,ROCCABIANCA,034030,78,0,0
2017,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,892,0,0
2017,SCUOLA PRIMARIA,FONTEVIVO,034016,291,0,0
2017,SCUOLA PRIMARIA,NEVIANO DEGLI ARDUINI,034024,122,0,0
2017,SCUOLA PRIMARIA,FELINO,034013,445,0,0
2017,SCUOLA PRIMARIA,POLESINE ZIBELLO,034050,101,0,0
2017,SCUOLA SECONDARIA I GRADO,COLLECCHIO,034009,401,0,0
2017,SCUOLA PRIMARIA,TERENZO,034038,14,0,0
2017,SCUOLA SECONDARIA I GRADO,MONTECHIARUGOLO,034023,304,0,0
2017,SCUOLA SECONDARIA I GRADO,SISSA TRECASALI,034049,244,0,0
2017,SCUOLA SECONDARIA I GRADO,SALA BAGANZA,034031,149,0,0
2017,SCUOLA PRIMARIA,CORNIGLIO,034012,63,0,0
2017,SCUOLA PRIMARIA,LESIGNANO DE' BAGNI,034019,219,0,0
2017,SCUOLA PRIMARIA,SALA BAGANZA,034031,240,0,0
2017,SCUOLA SECONDARIA I GRADO,CALESTANO,034008,44,0,0
2017,SCUOLA SECONDARIA I GRADO,COLORNO,034010,271,0,0
2017,SCUOLA PRIMARIA,TIZZANO VAL PARMA,034039,79,0,0
2017,SCUOLA SECONDARIA I GRADO,BORGO VAL DI TARO,034006,189,0,0
2017,SCUOLA SECONDARIA II GRADO,FIDENZA,034014,2142,0,0
2017,SCUOLA SECONDARIA I GRADO,MEDESANO,034020,278,0,0
2017,SCUOLA SECONDARIA I GRADO,NOCETO,034025,374,0,0
2017,SCUOLA SECONDARIA I GRADO,PELLEGRINO PARMENSE,034028,27,0,0
2017,SCUOLA PRIMARIA,PALANZANO,034026,14,0,0
