cod_indicatore,indicatore,sesso,territorio,livello,anno,valore,poco_signif,unita_misura,fonte
02IST004,Passaggio all'università,Maschi,Emilia-Romagna,regione,2018,47.8,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Emilia-Romagna,regione,2019,49,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Emilia-Romagna,regione,2020,48.5,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Emilia-Romagna,regione,2021,48.4,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Emilia-Romagna,regione,2022,48,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Emilia-Romagna,regione,2023,48.5,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2017,44.7,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2018,44.5,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2019,45.1,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2020,44.7,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2021,44.5,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2022,45.2,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Italia,italia,2023,45.8,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2017,47,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2018,45.6,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2019,46.4,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2020,47,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2021,46.8,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2022,46.7,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Maschi,Nord-est,ripartizione,2023,47.5,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Totale,Emilia-Romagna,regione,2013,53.2,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Totale,Emilia-Romagna,regione,2014,51.7,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Totale,Emilia-Romagna,regione,2015,52.9,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
02IST004,Passaggio all'università,Totale,Emilia-Romagna,regione,2016,51.5,FALSE,Tasso specifico di coorte,Ministero dell'Istruzione e del Merito; Ministero dell'Università e Ricerca
