"territorio","anno","indicatore","valore"
"Bologna",2036,"65 anni e più",29.1262909328857
"Bologna",2036,"80 anni e più",9.20661564577465
"Ferrara",2036,"65 anni e più",32.9332290534812
"Ferrara",2036,"80 anni e più",10.5852010173256
"Forlì-Cesena",2036,"65 anni e più",30.098717547701
"Forlì-Cesena",2036,"80 anni e più",9.56847044103847
"Modena",2036,"65 anni e più",28.8139123761494
"Modena",2036,"80 anni e più",9.0441408230667
"Parma",2036,"65 anni e più",28.1154651636162
"Parma",2036,"80 anni e più",8.59441560240231
"Piacenza",2036,"65 anni e più",29.4368298431816
"Piacenza",2036,"80 anni e più",9.06883115113697
"Ravenna",2036,"65 anni e più",30.9970238854885
"Ravenna",2036,"80 anni e più",9.73694823194295
"Reggio nell'Emilia",2036,"65 anni e più",28.4251292632781
"Reggio nell'Emilia",2036,"80 anni e più",8.62750114478414
"Rimini",2036,"65 anni e più",30.3969804438724
"Rimini",2036,"80 anni e più",9.5619277372663
"Bologna",2037,"65 anni e più",29.6026720794959
"Bologna",2037,"80 anni e più",9.30645601066408
"Ferrara",2037,"65 anni e più",33.2868814220266
"Ferrara",2037,"80 anni e più",10.7309896051388
"Forlì-Cesena",2037,"65 anni e più",30.5632876410845
"Forlì-Cesena",2037,"80 anni e più",9.69440963963896
"Modena",2037,"65 anni e più",29.3255565393632
"Modena",2037,"80 anni e più",9.188595921015
"Parma",2037,"65 anni e più",28.5647000703353
"Parma",2037,"80 anni e più",8.6905918210135
"Piacenza",2037,"65 anni e più",29.8108033627397
"Piacenza",2037,"80 anni e più",9.20636756745723
"Ravenna",2037,"65 anni e più",31.4666006598976
"Ravenna",2037,"80 anni e più",9.8854493351264
"Reggio nell'Emilia",2037,"65 anni e più",28.991240096937
"Reggio nell'Emilia",2037,"80 anni e più",8.7693521970163
"Rimini",2037,"65 anni e più",30.9445915770889
"Rimini",2037,"80 anni e più",9.69257932180506
"Bologna",2038,"65 anni e più",30.0380630654048
"Bologna",2038,"80 anni e più",9.43107673956338
"Ferrara",2038,"65 anni e più",33.6730444889804
"Ferrara",2038,"80 anni e più",10.895022063251
"Forlì-Cesena",2038,"65 anni e più",31.0282252017157
"Forlì-Cesena",2038,"80 anni e più",9.81983062879311
"Modena",2038,"65 anni e più",29.8185431241962
"Modena",2038,"80 anni e più",9.32445342215067
"Parma",2038,"65 anni e più",29.0152681161388
"Parma",2038,"80 anni e più",8.80062484206657
"Piacenza",2038,"65 anni e più",30.1668326270106
"Piacenza",2038,"80 anni e più",9.34894833252336
"Ravenna",2038,"65 anni e più",31.9455783007123
"Ravenna",2038,"80 anni e più",10.0335224605588
"Reggio nell'Emilia",2038,"65 anni e più",29.5782680752173
"Reggio nell'Emilia",2038,"80 anni e più",8.9355319562621
"Rimini",2038,"65 anni e più",31.4604732195137
"Rimini",2038,"80 anni e più",9.87022951406015
"Bologna",2039,"65 anni e più",30.4834015341407
"Bologna",2039,"80 anni e più",9.57271313381451
"Ferrara",2039,"65 anni e più",34.0160490715066
"Ferrara",2039,"80 anni e più",11.0170813977217
"Forlì-Cesena",2039,"65 anni e più",31.4884442523552
"Forlì-Cesena",2039,"80 anni e più",9.96360020685675
"Modena",2039,"65 anni e più",30.3141034653621
"Modena",2039,"80 anni e più",9.45518179944389
"Parma",2039,"65 anni e più",29.4542711704072
"Parma",2039,"80 anni e più",8.92885793047693
"Piacenza",2039,"65 anni e più",30.5341956510669
"Piacenza",2039,"80 anni e più",9.50552528390284
"Ravenna",2039,"65 anni e più",32.3961516290791
"Ravenna",2039,"80 anni e più",10.184103534645
"Reggio nell'Emilia",2039,"65 anni e più",30.1307974628957
"Reggio nell'Emilia",2039,"80 anni e più",9.08419566130731
"Rimini",2039,"65 anni e più",31.9766385463984
"Rimini",2039,"80 anni e più",10.0633066551301
"Bologna",2040,"65 anni e più",30.9009538779918
"Bologna",2040,"80 anni e più",9.75166377355717
"Ferrara",2040,"65 anni e più",34.3769070974841
"Ferrara",2040,"80 anni e più",11.2112530400825
"Forlì-Cesena",2040,"65 anni e più",31.9833891440115
"Forlì-Cesena",2040,"80 anni e più",10.1518000504419
"Modena",2040,"65 anni e più",30.8036742980479
"Modena",2040,"80 anni e più",9.64482785420067
"Parma",2040,"65 anni e più",29.896870776588
"Parma",2040,"80 anni e più",9.1028173406799
"Piacenza",2040,"65 anni e più",30.930181287839
"Piacenza",2040,"80 anni e più",9.67388539352519
"Ravenna",2040,"65 anni e più",32.8512591648071
"Ravenna",2040,"80 anni e più",10.3890341090214
"Reggio nell'Emilia",2040,"65 anni e più",30.683245671322
"Reggio nell'Emilia",2040,"80 anni e più",9.29063148099156
"Rimini",2040,"65 anni e più",32.5024226483007
"Rimini",2040,"80 anni e più",10.282123162825
"Bologna",2041,"65 anni e più",31.2765582986124
"Bologna",2041,"80 anni e più",9.93740359014081
"Ferrara",2041,"65 anni e più",34.6310919966028
"Ferrara",2041,"80 anni e più",11.4111807826909
"Forlì-Cesena",2041,"65 anni e più",32.3922849005409
"Forlì-Cesena",2041,"80 anni e più",10.3655111989756
"Modena",2041,"65 anni e più",31.2183055714089
"Modena",2041,"80 anni e più",9.85712904152915
"Parma",2041,"65 anni e più",30.3110351167341
"Parma",2041,"80 anni e più",9.30781250324233
"Piacenza",2041,"65 anni e più",31.2328859970178
"Piacenza",2041,"80 anni e più",9.88613257421716
"Ravenna",2041,"65 anni e più",33.2541985628242
"Ravenna",2041,"80 anni e più",10.6179142080488
"Reggio nell'Emilia",2041,"65 anni e più",31.1631313495608
"Reggio nell'Emilia",2041,"80 anni e più",9.53342691797658
"Rimini",2041,"65 anni e più",32.9521034945267
"Rimini",2041,"80 anni e più",10.5268471378917
"Bologna",2042,"65 anni e più",31.592227113727
"Bologna",2042,"80 anni e più",10.1609496225143
"Ferrara",2042,"65 anni e più",34.8482836865737
"Ferrara",2042,"80 anni e più",11.6177038574808
"Forlì-Cesena",2042,"65 anni e più",32.7103806591037
"Forlì-Cesena",2042,"80 anni e più",10.6107415041699
"Modena",2042,"65 anni e più",31.5434771070334
"Modena",2042,"80 anni e più",10.1185510398223
"Parma",2042,"65 anni e più",30.6353927603834
"Parma",2042,"80 anni e più",9.53876235531952
"Piacenza",2042,"65 anni e più",31.4622532883597
"Piacenza",2042,"80 anni e più",10.1268609203343
"Ravenna",2042,"65 anni e più",33.5413372775029
"Ravenna",2042,"80 anni e più",10.8871831488754
"Reggio nell'Emilia",2042,"65 anni e più",31.5949088071423
"Reggio nell'Emilia",2042,"80 anni e più",9.77149545931132
"Rimini",2042,"65 anni e più",33.3348720863471
"Rimini",2042,"80 anni e più",10.7864662825554
"Bologna",2043,"65 anni e più",31.8436798276466
"Bologna",2043,"80 anni e più",10.412015901742
"Ferrara",2043,"65 anni e più",34.9834773959288
