"territorio","anno","valore"
"Bologna",2041,54.0297104877664
"Ferrara",2041,62.6464867692006
"Forlì-Cesena",2041,57.1241801294185
"Modena",2041,54.3642341064457
"Parma",2041,51.8616747439243
"Piacenza",2041,54.3568268947213
"Ravenna",2041,59.3115963451296
"Reggio nell'Emilia",2041,54.1050407485663
"Rimini",2041,58.0694352666091
"Bologna",2042,54.9370465669046
"Ferrara",2042,63.4351312754037
"Forlì-Cesena",2042,58.1240355451498
"Modena",2042,55.3333206008461
"Parma",2042,52.7689574220617
"Piacenza",2042,55.055913430483
"Ravenna",2042,60.2589417839128
"Reggio nell'Emilia",2042,55.3639070798324
"Rimini",2042,59.2519846560955
"Bologna",2043,55.6771047143631
"Ferrara",2043,63.9792764449261
"Forlì-Cesena",2043,58.970926211036
"Modena",2043,56.1769048848125
"Parma",2043,53.5393918550999
"Piacenza",2043,55.541151284491
"Ravenna",2043,61.1167484594664
"Reggio nell'Emilia",2043,56.4166285676964
"Rimini",2043,60.2614264227789
"Bologna",2044,56.315055440341
"Ferrara",2044,64.2993324328681
"Forlì-Cesena",2044,59.6796051155486
"Modena",2044,56.8433722733731
"Parma",2044,54.2094345117185
"Piacenza",2044,55.9923629963307
"Ravenna",2044,61.7056786414653
"Reggio nell'Emilia",2044,57.3197557615354
"Rimini",2044,61.0413187887868
"Bologna",2045,56.775975979948
"Ferrara",2045,64.3377902728272
"Forlì-Cesena",2045,60.1456164142859
"Modena",2045,57.2921809504448
"Parma",2045,54.7290477014478
"Piacenza",2045,56.2180161652877
"Ravenna",2045,62.0530812038192
"Reggio nell'Emilia",2045,57.9167547848155
"Rimini",2045,61.623297843412
"Bologna",2046,57.1434017303676
"Ferrara",2046,64.1471990698038
"Forlì-Cesena",2046,60.405183163754
"Modena",2046,57.6644036612628
"Parma",2046,55.0996156957929
"Piacenza",2046,56.3209721349256
"Ravenna",2046,62.2596871733612
"Reggio nell'Emilia",2046,58.4205704878421
"Rimini",2046,61.9916415528231
"Bologna",2047,57.3869957524816
"Ferrara",2047,63.8369814700778
"Forlì-Cesena",2047,60.6148591721551
"Modena",2047,57.8835484663412
"Parma",2047,55.3792729245795
"Piacenza",2047,56.3445176752546
"Ravenna",2047,62.237706680126
"Reggio nell'Emilia",2047,58.7389019508589
"Rimini",2047,62.3090260393885
"Bologna",2048,57.6168404660975
"Ferrara",2048,63.4679294981366
"Forlì-Cesena",2048,60.6991318711739
"Modena",2048,58.0605227630508
"Parma",2048,55.7097188091251
"Piacenza",2048,56.3508675130892
"Ravenna",2048,62.2651227472152
"Reggio nell'Emilia",2048,59.049503097703
"Rimini",2048,62.5925612491008
"Bologna",2049,57.8172895973384
"Ferrara",2049,63.0932878526065
"Forlì-Cesena",2049,60.6262945601221
"Modena",2049,58.167608782669
"Parma",2049,55.9418322267759
"Piacenza",2049,56.2207945677146
"Ravenna",2049,62.1064717184498
"Reggio nell'Emilia",2049,59.2092920413277
"Rimini",2049,62.6907698671107
"Bologna",2050,57.9539648775992
"Ferrara",2050,62.5882484987934
"Forlì-Cesena",2050,60.4850512230817
"Modena",2050,58.2047315674875
"Parma",2050,56.0919055649241
"Piacenza",2050,56.153315124411
"Ravenna",2050,61.8050511062476
"Reggio nell'Emilia",2050,59.2888294997096
"Rimini",2050,62.7008757758694
"Emilia-Romagna",2024,38.9831922836414
"Emilia-Romagna",2025,39.4004552340238
"Emilia-Romagna",2026,39.8773904401095
"Emilia-Romagna",2027,40.448890669446
"Emilia-Romagna",2028,41.079828826268
"Emilia-Romagna",2029,41.8387933925625
"Emilia-Romagna",2030,42.843266448877
"Emilia-Romagna",2031,43.800657189708
"Emilia-Romagna",2032,44.8244380219285
"Emilia-Romagna",2033,45.8490836504899
"Emilia-Romagna",2034,46.9542236006038
"Emilia-Romagna",2035,48.1291447389193
"Emilia-Romagna",2036,49.2916065982203
"Emilia-Romagna",2037,50.5261622370708
"Emilia-Romagna",2038,51.7666903178353
"Emilia-Romagna",2039,53.0336602435315
"Emilia-Romagna",2040,54.3411335864166
"Emilia-Romagna",2041,55.4954652436875
"Emilia-Romagna",2042,56.4621029396941
"Emilia-Romagna",2043,57.2656072924745
"Emilia-Romagna",2044,57.9195405281772
"Emilia-Romagna",2045,58.354867297915
"Emilia-Romagna",2046,58.6600081153044
"Emilia-Romagna",2047,58.8391674166292
"Emilia-Romagna",2048,58.9986746277724
"Emilia-Romagna",2049,59.0598390789006
"Emilia-Romagna",2050,59.0474152989806
"Italia",2024,38.3580445849065
"Italia",2025,39.0716332952347
"Italia",2026,39.845415058927
"Italia",2027,40.7113446433006
"Italia",2028,41.6358991770106
"Italia",2029,42.6916975352303
"Italia",2030,43.9820047528104
"Italia",2031,45.2404411653235
"Italia",2032,46.5257557478717
"Italia",2033,47.798857310909
"Italia",2034,49.09235148684
"Italia",2035,50.4568766994889
"Italia",2036,51.7562951544071
"Italia",2037,53.1201585528946
"Italia",2038,54.4779031299342
"Italia",2039,55.8429163064077
"Italia",2040,57.2751080638899
"Italia",2041,58.5604005887585
"Italia",2042,59.6640599131915
"Italia",2043,60.6034623913688
"Italia",2044,61.4178146895248
"Italia",2045,62.0276968261878
"Italia",2046,62.5156497286921
"Italia",2047,62.900469893841
"Italia",2048,63.252273276692
"Italia",2049,63.4665210653143
"Italia",2050,63.6035395871663
