indicatore,domanda,tavola,anno,sesso,variabile,categoria,risposta,percentuale
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Qualche volta l'anno,1.722754781014207
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Mai,2.225533000365993
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,ripartizione,Isole,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Tutti i giorni,16.415239871744372
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Qualche volta a settimana,51.578389996736874
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Una volta a settimana,16.942610474424317
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Qualche volta al mese (meno di 4),11.042352603195768
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Qualche volta l'anno,1.9670074504626915
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Mai,2.0543191318402365
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Femmine,totale,Totale,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Tutti i giorni,22.20658783444381
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Qualche volta a settimana,50.795334363132774
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Una volta a settimana,11.947642187518076
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Qualche volta al mese (meno di 4),11.102106623818567
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Qualche volta l'anno,2.060045385051428
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Mai,1.8882836060353472
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,11-13 anni,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Tutti i giorni,21.09466399975298
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Qualche volta a settimana,51.26718426749648
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Una volta a settimana,15.281175271809053
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Qualche volta al mese (meno di 4),8.730225441121476
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Qualche volta l'anno,1.781840284806254
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Mai,1.8448821446011576
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,eta,14-19 anni,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Tutti i giorni,20.593097777810403
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Qualche volta a settimana,50.845342358149125
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Una volta a settimana,14.28514796244228
